"likely_id","cc_property_id","attom_id","broker","mls_name","status","date","year_built","StatusPrediction","Confidence","P(status=Active)Individualprobability","P(status=Sale)Individualprobability"
21267426,456319725,142913013,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-20 00:00:00",,"Sale",0.8612110566402996,0.13878894335970035,0.8612110566402996
16976571,279045038,166681918,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-01 00:00:00",,"Active",0.9431076140695291,0.9431076140695291,0.05689238593047082
457397,7121375,4444920,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-02 00:00:00",,"Active",0.9431076140695291,0.9431076140695291,0.05689238593047082
25942117,7053845,1616916,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-01 00:00:00",,"Sale",0.9608929052496382,0.03910709475036184,0.9608929052496382
22534842,496394676,166127442,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-01 00:00:00",,"Active",0.943960483277097,0.943960483277097,0.05603951672290294
22119174,485003607,167598029,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-02 00:00:00",,"Active",0.9775179527895977,0.9775179527895977,0.02248204721040222
513326,7851305,5216690,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-01 00:00:00",,"Active",0.9775179527895977,0.9775179527895977,0.02248204721040222
20353533,413015781,50970377,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-01 00:00:00",,"Active",0.9506680373888748,0.9506680373888748,0.04933196261112511
498923,7662182,166262431,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-01 00:00:00",,"Active",0.943960483277097,0.943960483277097,0.05603951672290294
17608208,325670141,26207410,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-02 00:00:00",,"Active",0.9488350458850523,0.9488350458850523,0.05116495411494776
457446,7122176,7811034,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-02 00:00:00",,"Active",0.9434337400032503,0.9434337400032503,0.05656625999674975
21720396,477615720,220537546,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-02 00:00:00",,"Active",0.9686917786864799,0.9686917786864799,0.03130822131352003
20038905,404712858,145071166,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-20 00:00:00",,"Active",0.9486370651884097,0.9486370651884097,0.0513629348115903
527524,8029121,7483005,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-27 00:00:00",,"Active",0.9434337400032503,0.9434337400032503,0.05656625999674975
25335750,7747832,167030885,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-07 00:00:00",,"Sale",0.9555084499748902,0.04449155002510982,0.9555084499748902
22118585,485000637,167716496,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-02 00:00:00",,"Active",0.951758656503809,0.951758656503809,0.04824134349619099
16965221,278702357,142323555,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-02 00:00:00",,"Active",0.9500449954111464,0.9500449954111464,0.04995500458885364
24460453,541385523,252403211,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-11-02 00:00:00",,"Active",0.9551364973135616,0.9551364973135616,0.04486350268643835
25593842,7080638,165970669,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-12 00:00:00",,"Sale",0.9602868902748418,0.03971310972515819,0.9602868902748418
