"attom_id","status","date","StatusPrediction","Confidence","P(status=Active)Individualprobability","P(status=Sale)Individualprobability"
165404353,"Active","2016-12-18 00:00:01","Sale",0.7196609250504287,0.2803390749495714,0.7196609250504287
252414861,"Sale","2017-03-03 00:00:00","Sale",0.7227367168775235,0.27726328312247656,0.7227367168775235
22833116,"Active","2017-11-27 00:00:00","Sale",0.693673459152126,0.30632654084787414,0.693673459152126
166008000,"Active","2017-03-31 17:51:48","Sale",0.8616347697862033,0.13836523021379674,0.8616347697862033
24657572,"Sale","2017-01-20 00:00:00","Sale",0.5766501904126947,0.4233498095873051,0.5766501904126947
27603096,"Active","2017-03-21 00:00:00","Sale",0.8442284741190765,0.1557715258809235,0.8442284741190765
27606066,"Active","2017-02-26 11:47:40","Sale",0.7795156961759989,0.2204843038240011,0.7795156961759989
34544838,"Sale","2017-06-24 00:00:00","Sale",0.8919757673524752,0.10802423264752475,0.8919757673524752
50838748,"Sale","2016-12-30 00:00:00","Sale",0.693673459152126,0.30632654084787414,0.693673459152126
205139611,"Sale","2016-12-13 00:00:00","Sale",0.9733669789212116,0.02663302107878837,0.9733669789212116
252414846,"Sale","2017-01-03 00:00:00","Sale",0.5590645577069391,0.44093544229306086,0.5590645577069391
4733306,"Sale","2017-05-12 00:00:00","Sale",0.693673459152126,0.30632654084787414,0.693673459152126
,"Active","2017-09-18 00:00:00","Sale",0.7976579809968626,0.2023420190031373,0.7976579809968626
5219719,"Active","2017-05-24 00:00:00","Sale",0.905057168524845,0.09494283147515509,0.905057168524845
47638990,"Active","2016-12-21 05:10:32","Active",0.6772323824768544,0.6772323824768544,0.32276761752314564
153877355,"Sale","2016-12-02 00:00:00","Active",0.6353465899811057,0.6353465899811057,0.3646534100188944
12993319,"Active","2016-12-03 11:12:45","Active",0.8421922999199456,0.8421922999199456,0.1578077000800544
164820693,"Sale","2017-03-03 00:00:00","Sale",0.7693733527898245,0.2306266472101755,0.7693733527898245
9574034,"Sale","2017-05-16 00:00:00","Sale",0.9153013595909191,0.08469864040908098,0.9153013595909191
165184878,"Sale","2016-12-30 00:00:00","Active",0.6772323824768544,0.6772323824768544,0.32276761752314564
47783345,"Active","2016-12-01 16:35:09","Active",0.7569075796604714,0.7569075796604714,0.2430924203395286
252420279,"Sale","2016-12-16 00:00:00","Sale",0.5802182937116513,0.41978170628834854,0.5802182937116513
142974976,"Sale","2017-01-20 00:00:00","Sale",0.6286645041252518,0.3713354958747481,0.6286645041252518
17775617,"Sale","2017-03-31 00:00:00","Sale",0.8214400781697594,0.1785599218302406,0.8214400781697594
41470373,"Sale","2016-12-09 00:00:00","Sale",0.5458825929779402,0.45411740702206,0.5458825929779402
34022316,"Sale","2017-06-12 00:00:00","Sale",0.6186744848167222,0.38132551518327784,0.6186744848167222
33859413,"Sale","2017-03-22 00:00:00","Sale",0.9130281992257792,0.08697180077422093,0.9130281992257792
21805513,"Sale","2017-03-03 00:00:00","Sale",0.7536194830600101,0.24638051693998975,0.7536194830600101
34049742,"Active","2017-02-17 00:00:00","Sale",0.6678496003358101,0.33215039966418997,0.6678496003358101
34049742,"Sale","2017-03-28 00:00:00","Sale",0.855164438000634,0.14483556199936604,0.855164438000634
252335961,"Sale","2016-12-08 00:00:00","Sale",0.5492244246900361,0.45077557530996387,0.5492244246900361
324033393,"Sale","2017-03-06 00:00:00","Sale",0.8443422376296307,0.15565776237036938,0.8443422376296307
,"Sale","2017-01-16 00:00:00","Sale",0.7052129790866675,0.29478702091333264,0.7052129790866675
34040701,"Active","2017-01-25 00:00:00","Sale",0.6427356871870004,0.35726431281299964,0.6427356871870004
252402994,"Sale","2017-04-14 00:00:00","Sale",0.8043386451373387,0.19566135486266129,0.8043386451373387
167795476,"Active","2017-01-11 17:01:31","Active",0.6537622889101529,0.6537622889101529,0.3462377110898473
147750124,"Sale","2017-01-30 00:00:00","Sale",0.6401605476999059,0.35983945230009406,0.6401605476999059
249734501,"Sale","2017-05-05 00:00:00","Sale",0.9073355074095322,0.09266449259046781,0.9073355074095322
220553674,"Active","2017-01-28 00:00:00","Sale",0.6215884893224414,0.37841151067755857,0.6215884893224414
220553674,"Sale","2017-04-18 00:00:00","Sale",0.8678122443239219,0.13218775567607802,0.8678122443239219
252402916,"Sale","2017-04-13 00:00:00","Sale",0.5572741423644638,0.4427258576355361,0.5572741423644638
166160168,"Active","2017-01-03 00:00:00","Sale",0.6326213051717395,0.3673786948282606,0.6326213051717395
252420812,"Active","2016-12-08 00:00:00","Active",0.5163404775832899,0.5163404775832899,0.48365952241671006
41629856,"Active","2017-01-03 00:00:00","Sale",0.6091807165468622,0.3908192834531377,0.6091807165468622
321653535,"Sale","2017-05-31 00:00:00","Sale",0.6368368411060609,0.3631631588939392,0.6368368411060609
321653543,"Sale","2017-04-06 00:00:00","Sale",0.6368368411060609,0.3631631588939392,0.6368368411060609
167063021,"Sale","2017-07-10 00:00:00","Sale",0.9419287457448726,0.058071254255127464,0.9419287457448726
321652168,"Sale","2017-02-28 00:00:00","Sale",0.7083733758379703,0.2916266241620297,0.7083733758379703
321648802,"Sale","2017-04-27 00:00:00","Sale",0.8485656800683937,0.15143431993160628,0.8485656800683937
167792400,"Active","2016-12-06 09:06:33","Active",0.5796174166194293,0.5796174166194293,0.4203825833805706
252249313,"Active","2016-12-01 23:29:51","Sale",0.5572741423644638,0.4427258576355361,0.5572741423644638
,"Sale","2016-12-16 00:00:00","Sale",0.5976819295885466,0.40231807041145345,0.5976819295885466
